"Parent1" "Parent2"
"145" "F16.INT.107" "F16.INT.502"
"146" "F16.INT.107" "F16.INT.503"
"147" "F16.INT.107" "F16.INT.504"
"148" "F16.INT.107" "F16.INT.505"
"149" "F16.INT.107" "F16.INT.609"
"150" "F16.INT.107" "F16.INT.612"
"151" "F16.INT.107" "F16.INT.681"
"152" "F16.INT.107" "F16.INT.686"
"153" "F16.INT.107" "F16.INT.701"
"154" "F16.INT.114" "F16.INT.204"
"155" "F16.INT.114" "F16.INT.205"
"156" "F16.INT.114" "F16.INT.207"
"157" "F16.INT.114" "F16.INT.208"
"158" "F16.INT.114" "F16.INT.209"
"159" "F16.INT.114" "F16.INT.210"
"160" "F16.INT.114" "F16.INT.306"
"161" "F16.INT.114" "F16.INT.312"
"162" "F16.INT.114" "F16.INT.320"
"163" "F16.INT.114" "F16.INT.409"
"164" "F16.INT.114" "F16.INT.411"
"165" "F16.INT.114" "F16.INT.412"
"166" "F16.INT.114" "F16.INT.501"
"167" "F16.INT.114" "F16.INT.502"
"168" "F16.INT.114" "F16.INT.503"
"169" "F16.INT.114" "F16.INT.504"
"170" "F16.INT.114" "F16.INT.505"
"171" "F16.INT.114" "F16.INT.609"
"172" "F16.INT.114" "F16.INT.612"
"173" "F16.INT.114" "F16.INT.681"
"174" "F16.INT.114" "F16.INT.686"
"175" "F16.INT.114" "F16.INT.701"
"176" "F16.INT.204" "F16.INT.205"
"177" "F16.INT.204" "F16.INT.207"
"178" "F16.INT.204" "F16.INT.208"
"179" "F16.INT.204" "F16.INT.209"
"180" "F16.INT.204" "F16.INT.210"
"181" "F16.INT.204" "F16.INT.306"
"182" "F16.INT.204" "F16.INT.312"
"183" "F16.INT.204" "F16.INT.320"
"184" "F16.INT.204" "F16.INT.409"
"185" "F16.INT.204" "F16.INT.411"
"186" "F16.INT.204" "F16.INT.412"
"187" "F16.INT.204" "F16.INT.501"
"188" "F16.INT.204" "F16.INT.502"
"189" "F16.INT.204" "F16.INT.503"
"190" "F16.INT.204" "F16.INT.504"
"191" "F16.INT.204" "F16.INT.505"
"192" "F16.INT.204" "F16.INT.609"
"193" "F16.INT.204" "F16.INT.612"
"194" "F16.INT.204" "F16.INT.681"
"195" "F16.INT.204" "F16.INT.686"
"196" "F16.INT.204" "F16.INT.701"
"197" "F16.INT.205" "F16.INT.207"
"198" "F16.INT.205" "F16.INT.208"
"199" "F16.INT.205" "F16.INT.209"
"200" "F16.INT.205" "F16.INT.210"
"201" "F16.INT.205" "F16.INT.306"
"202" "F16.INT.205" "F16.INT.312"
"203" "F16.INT.205" "F16.INT.320"
"204" "F16.INT.205" "F16.INT.409"
"205" "F16.INT.205" "F16.INT.411"
"206" "F16.INT.205" "F16.INT.412"
"207" "F16.INT.205" "F16.INT.501"
"208" "F16.INT.205" "F16.INT.502"
"209" "F16.INT.205" "F16.INT.503"
"210" "F16.INT.205" "F16.INT.504"
"211" "F16.INT.205" "F16.INT.505"
"212" "F16.INT.205" "F16.INT.609"
"213" "F16.INT.205" "F16.INT.612"
"214" "F16.INT.205" "F16.INT.681"
"215" "F16.INT.205" "F16.INT.686"
"216" "F16.INT.205" "F16.INT.701"
"217" "F16.INT.207" "F16.INT.208"
"218" "F16.INT.207" "F16.INT.209"
"219" "F16.INT.207" "F16.INT.210"
"220" "F16.INT.207" "F16.INT.306"
"221" "F16.INT.207" "F16.INT.312"
"222" "F16.INT.207" "F16.INT.320"
"223" "F16.INT.207" "F16.INT.409"
"224" "F16.INT.207" "F16.INT.411"
"225" "F16.INT.207" "F16.INT.412"
"226" "F16.INT.207" "F16.INT.501"
"227" "F16.INT.207" "F16.INT.502"
"228" "F16.INT.207" "F16.INT.503"
"229" "F16.INT.207" "F16.INT.504"
"230" "F16.INT.207" "F16.INT.505"
"231" "F16.INT.207" "F16.INT.609"
"232" "F16.INT.207" "F16.INT.612"
"233" "F16.INT.207" "F16.INT.681"
"234" "F16.INT.207" "F16.INT.686"
"235" "F16.INT.207" "F16.INT.701"
"236" "F16.INT.208" "F16.INT.209"
"237" "F16.INT.208" "F16.INT.210"
"238" "F16.INT.208" "F16.INT.306"
"239" "F16.INT.208" "F16.INT.312"
"240" "F16.INT.208" "F16.INT.320"
"241" "F16.INT.208" "F16.INT.409"
"242" "F16.INT.208" "F16.INT.411"
"243" "F16.INT.208" "F16.INT.412"
"244" "F16.INT.208" "F16.INT.501"
"245" "F16.INT.208" "F16.INT.502"
"246" "F16.INT.208" "F16.INT.503"
"247" "F16.INT.208" "F16.INT.504"
"248" "F16.INT.208" "F16.INT.505"
"249" "F16.INT.208" "F16.INT.609"
"250" "F16.INT.208" "F16.INT.612"
"251" "F16.INT.208" "F16.INT.681"
"252" "F16.INT.208" "F16.INT.686"
"253" "F16.INT.208" "F16.INT.701"
"254" "F16.INT.209" "F16.INT.210"
"255" "F16.INT.209" "F16.INT.306"
"256" "F16.INT.209" "F16.INT.312"
"257" "F16.INT.209" "F16.INT.320"
"258" "F16.INT.209" "F16.INT.409"
"259" "F16.INT.209" "F16.INT.411"
"260" "F16.INT.209" "F16.INT.412"
"261" "F16.INT.209" "F16.INT.501"
"262" "F16.INT.209" "F16.INT.502"
"263" "F16.INT.209" "F16.INT.503"
"264" "F16.INT.209" "F16.INT.504"
"265" "F16.INT.209" "F16.INT.505"
"266" "F16.INT.209" "F16.INT.609"
"267" "F16.INT.209" "F16.INT.612"
"268" "F16.INT.209" "F16.INT.681"
"269" "F16.INT.209" "F16.INT.686"
"270" "F16.INT.209" "F16.INT.701"
"271" "F16.INT.210" "F16.INT.306"
"272" "F16.INT.210" "F16.INT.312"
"273" "F16.INT.210" "F16.INT.320"
"274" "F16.INT.210" "F16.INT.409"
"275" "F16.INT.210" "F16.INT.411"
"276" "F16.INT.210" "F16.INT.412"
"277" "F16.INT.210" "F16.INT.501"
"278" "F16.INT.210" "F16.INT.502"
"279" "F16.INT.210" "F16.INT.503"
"280" "F16.INT.210" "F16.INT.504"
"281" "F16.INT.210" "F16.INT.505"
